"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-02-05,0.00196990825464912,0.00520533069890088,0.00555744546125113,0.00868569850847575,0.00588009364928329,0.00030063144156589,0.00561685257273257,0.0046812715137478,0.0182005597406255,0.00636993940508905,0,0.00274459862989636,0
2021-02-06,0.00196990825464912,0.00571360435146676,0.00686849736779174,0.00934934914782369,0.00646535145896363,0.000331711325417245,0.00561685257273257,0.0046812715137478,0.0182005597406255,0.00636993940508905,0,0.00274459862989636,0
2021-02-07,0.00196990825464912,0.00605096203987756,0.00686849736779174,0.0100165948610576,0.0068115386168059,0.000353085966727656,0.00561685257273257,0.0046812715137478,0.0182005597406255,0.00636993940508905,0,0.00274459862989636,0
2021-02-08,0.00230152024619482,0.00648563444609917,0.00705711369859784,0.0106637081605301,0.0071073810168262,0.000363715518082022,0.0067339261673545,0.00513429778927178,0.0182005597406255,0.00636993940508905,0,0.00274459862989636,0.00725989412654399
2021-02-09,0.00243283479413642,0.00731314511548349,0.00764148750922031,0.0116861471736967,0.00773441426384817,0.000401265563627339,0.0067339261673545,0.00564232725498079,0.0210771710924531,0.00636993940508905,0,0.0065650799227121,0.00725989412654399
2021-02-10,0.00272054857935142,0.00827712010179791,0.00814081556354181,0.0123332604731692,0.00841701419835982,0.000457070708237764,0.0067339261673545,0.00590034221984875,0.0210771710924531,0.00875195946541567,0.0170529077393966,0.0065650799227121,0.00725989412654399
2021-02-11,0.00298051717788123,0.00943214513181446,0.00873024159731087,0.0129278856939068,0.009171047452813,0.000541298348860951,0.0067339261673545,0.00627236379710023,0.0226952649778561,0.00932303104866373,0.0191010977377857,0.0065650799227121,0.00725989412654399
2021-02-12,0.003337403894284,0.0102706176889522,0.00910494814734977,0.0135692468751618,0.0101279995383279,0.000639159544482131,0.0067339261673545,0.00749843490922474,0.0226952649778561,0.00932303104866373,0.0209191540284906,0.0065650799227121,0.00756238971514999
2021-02-13,0.003337403894284,0.010999023944566,0.0104496815415343,0.0144895857899672,0.0109999948450181,0.000682024365704631,0.0067339261673545,0.00749843490922474,0.0226952649778561,0.00932303104866373,0.0209191540284906,0.0065650799227121,0.0537937988404336
2021-02-14,0.003337403894284,0.0113768735040659,0.0113060333648817,0.0149763587941259,0.0116919674738052,0.00070074161917645,0.0067339261673545,0.00749843490922474,0.0226952649778561,0.00932303104866373,0.0209191540284906,0.0065650799227121,0.0537937988404336
2021-02-15,0.003337403894284,0.0115459997722612,0.0113060333648817,0.015419271896876,0.0121936744088022,0.000708367166887191,0.0067339261673545,0.00749843490922474,0.0226952649778561,0.00932303104866373,0.0209191540284906,0.0065650799227121,0.0537937988404336
2021-02-16,0.0043544740253743,0.0120858168161175,0.0114483376501773,0.0155709840148635,0.012514823083366,0.000730319501205992,0.00945167680680672,0.00822547707767051,0.0293654075499062,0.00932303104866373,0.0209191540284906,0.01271298085368,0.0537937988404336
2021-02-17,0.00494662472202554,0.0126607566431836,0.0117994671588655,0.0163748425357638,0.0130793270700081,0.000760475076243923,0.00945167680680672,0.00883051216970584,0.0293654075499062,0.00932303104866373,0.0209191540284906,0.01271298085368,0.0537937988404336
2021-02-18,0.00569194405202108,0.0131260775927158,0.0118558836506691,0.0168882190866787,0.0137779944804203,0.000789821881070109,0.00945167680680672,0.00978256738890856,0.0298388498348945,0.0117127164993695,0.0211032609946379,0.01271298085368,0.0537937988404336
2021-02-19,0.00701668169847671,0.0137625382183979,0.0130313675694428,0.017605795834316,0.0145755438154377,0.00082275038254831,0.00945167680680672,0.00978256738890856,0.0298388498348945,0.0117127164993695,0.0281453524497733,0.01271298085368,0.0537937988404336
2021-02-20,0.00701668169847671,0.0142911696625058,0.0149419499560457,0.0186037883450581,0.0153411590421026,0.000860415966695305,0.00945167680680672,0.00978256738890856,0.0298388498348945,0.0117127164993695,0.0281453524497733,0.01271298085368,0.0537937988404336
2021-02-21,0.00701668169847671,0.0148448568500501,0.0158387195645657,0.0186843180001035,0.0157944627059491,0.000875551523515109,0.00945167680680672,0.00978256738890856,0.0298388498348945,0.0117127164993695,0.0281453524497733,0.01271298085368,0.103529115200403
2021-02-22,0.0104627859131986,0.0155171113949271,0.0162984718709056,0.0187562194778227,0.0161122639897002,0.000887567538089611,0.0138985616575508,0.0115336689527993,0.0298388498348945,0.0117127164993695,0.0350033369387614,0.01271298085368,0.103529115200403
2021-02-23,0.0111923322945992,0.0164916008450049,0.0166681261977979,0.0193896714965286,0.0165389224226781,0.000916452188509085,0.0138985616575508,0.0115326688947959,0.0309415508530951,0.0117127164993695,0.0630106091639242,0.0424644300017565,0.103529115200403
2021-02-24,0.0118977441642941,0.0173050176587063,0.0171304046157111,0.0201690835150044,0.016843401090995,0.00094695437935205,0.0138985616575508,0.0116586762032198,0.0309415508530951,0.0117127164993695,0.0824569074632361,0.0424644300017565,0.103529115200403
