"date","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","YT","NT","NU"
2021-04-04,0,0,0,2.1570443315751e-06,0,3.11954224530324e-06,0,0,0,0,0,0,0
2021-04-05,0,0,0,2.1570443315751e-06,0,3.11954224530324e-06,0,0,0,0,0,0,0
2021-04-06,0,0,0,2.1570443315751e-06,0,3.23508084698114e-06,0,0,0,0,0,0,0
2021-04-07,0,0,0,2.1570443315751e-06,0,3.23508084698114e-06,0,0,0,0,0,0,0
2021-04-08,0,0,0,2.1570443315751e-06,0,3.23508084698114e-06,0,0,0,0,0,0,0
2021-04-09,0,0,0,4.31408866315021e-06,0,3.23508084698114e-06,0,0,0,0,0,0,0
2021-04-10,0,0,0,4.31408866315021e-06,0,3.23508084698114e-06,0,0,0,0,0,0,0
2021-04-11,0,0,0,4.31408866315021e-06,0,3.35061944865904e-06,0,0,0,0,0,0,0
2021-04-12,0,0,0,4.31408866315021e-06,0,3.46615805033693e-06,0,0,0,0,0,0,0
2021-04-13,0,0,0,4.31408866315021e-06,0,3.58169665201483e-06,0,0,0,0,0,0,0
2021-04-14,0,0,0,4.31408866315021e-06,0,3.69723525369273e-06,0,0,0,0,0,0,0
2021-04-15,0,0,0,4.31408866315021e-06,0,3.69723525369273e-06,0,0,0,0,0,0,0
2021-04-16,0,0,0,4.31408866315021e-06,0,3.92831245704852e-06,0,0,0,0,0,0,0
2021-04-17,0,0,0,4.31408866315021e-06,0,3.92831245704852e-06,0,0,0,0,0,0,0
2021-04-18,0,0,0,5.75211821753361e-06,0,4.04385105872642e-06,0,0,0,0,0,0,0
2021-04-19,0,0,0,5.75211821753361e-06,0,4.27492826208222e-06,0,0,0,0,0,0,0
2021-04-20,0,0,0,5.75211821753361e-06,0,4.39046686376012e-06,0,0,0,0,0,0,0
2021-04-21,0,0,0,6.47113299472531e-06,0,4.73708266879381e-06,0,0,0,0,0,0,0
2021-04-22,0,0,0,6.47113299472531e-06,0,4.9681598721496e-06,0,0,0,0,0,0,0
2021-04-23,0,0,0,7.19014777191701e-06,0,5.66139148221699e-06,0,0,0,0,0,0,0
2021-04-24,0,0,0,7.19014777191701e-06,0,5.89246868557279e-06,0,0,0,0,0,0,0
2021-04-25,0,0,0,7.90916254910871e-06,0,6.00800728725069e-06,0,0,0,0,0,0,0
2021-04-26,0,0,0,7.90916254910871e-06,0,6.35462309228438e-06,0,0,0,0,0,0,0
2021-04-27,0,0,0,8.62817732630041e-06,0,6.70123889731807e-06,0,0,0,0,0,0,0
2021-04-28,0,0,0,8.62817732630041e-06,0,7.16339330402966e-06,0,0,0,0,0,0,0
2021-04-29,0,0,0,8.62817732630041e-06,0,7.39447050738546e-06,0,0,0,0,0,0,0
2021-04-30,0,0,0,9.34719210349211e-06,0,7.74108631241915e-06,0,0,0,0,0,0,0
2021-05-01,0,0,0,1.07852216578755e-05,0,8.43431792248654e-06,0,0,0,0,0,0,0
2021-05-02,0,0,0,1.07852216578755e-05,0,8.89647232919813e-06,0,0,0,0,0,0,0
2021-05-03,0,0,0,1.07852216578755e-05,0,9.12754953255392e-06,0,0,0,0,0,0,0
2021-05-04,0,0,0,1.22232512122589e-05,0,9.82078114262131e-06,0,0,0,0,0,0,0
2021-05-05,0,0,0,1.29422659894506e-05,0,1.05140127526887e-05,0,0,0,0,0,0,0
2021-05-06,0,0,0,1.29422659894506e-05,0,1.1322782964434e-05,0,0,0,0,0,0,0
2021-05-07,0,0,0,1.36612807666423e-05,0,1.22470917778572e-05,0,0,0,0,0,0,0
2021-05-08,0,0,0,1.36612807666423e-05,0,1.2478168981213e-05,0,0,0,0,0,0,0
2021-05-09,0,0,0,1.4380295543834e-05,0,1.29403233879246e-05,0,0,0,0,0,0,0
